term,coefficient
Intercept,36238.15747152685
temp,804.4408380991014
humidity,-160.0294773335158
precip,-232.92776771592122
windspeed,-204.5893435816867
cloudcover,-17.993483448962856
day_Mon,0.0
day_Tue,2394.887196887695
day_Wed,2491.8100916895105
day_Thu,2468.6970629971242
day_Fri,807.0945359272026
day_Sat,-1329.8442747556414
day_Sun,-3554.660476572945
